jahr,seiten
1834,566
1835,765
1836,884
1837,1298
1838,1412
1839,1444
1840,1482
1841,1488
1842,1642
1843,2008
1844,2036
1845,1466
1846,1548
1847,1624
1848,1414
1849,1476
1850,1664
1851,780
1852,946
1853,2168
1854,2294
1855,2278
1856,2544
1857,1102
1858,2548
1859,2664
1860,2770
1861,2882
1862,2724
1863,2914
1864,1604
1865,3054
1866,1384
1867,3400
1868,3740
1869,4313
1870,4046
1871,4264
1872,4970
1873,4860
1874,4952
1875,3104
1876,4888
1877,5208
1878,5310
1879,5450
1880,4042
1881,5934
1882,5794
1883,5422
1884,6193
1885,6638
1886,6957
1887,6518
1888,6562
1889,6980
1890,6526
1891,7811
1892,7353
1893,8099
1894,8041
1895,7451
1896,8827
1897,9521
1898,9747
1899,10002
1900,10381
1901,10958
1902,10478
1903,10682
1904,11323
1905,13476
1906,14569
1907,12664
1908,16395
1909,16722
1910,15706
1911,17044
1912,16502
1913,15493
1914,12731
1915,11101
1916,12283
1917,9314
1918,9677
1919,16665
1920,14846
1921,17806
1922,17452
1923,11031
1924,17372
1925,16686
1926,14586
1927,15194
1928,14201
1929,11515
1930,12814
1931,9027
1932,8142
1933,8524
1934,8616
1935,8800
1936,9149
1937,8478
1938,7194
1939,1910
1940,8217
1941,4049
1942,1162
1943,214
1944,1378
1945,90
