slub_id,seiten
19310326,27
18650816,16
18830109,16
19300519,51
19150812,24
19060629,40
18880817,16
18850318,28
18801112,20
18680810,12
18741024,20
18421223,16
19440325,16
19160524,43
19170525,35
19231019,16
18761013,20
18890207,20
18810625,20
18740821,16
19010130,42
19380317,40
18910227,32
18810713,16
18990105,32
18940717,24
19400320,41
18750407,16
18540317,12
18670112,8
19051006,52
18641212,16
18940130,24
18730122,16
19080404,60
18440511,4
19130421,51
18790618,16
19410623,12
19281101,70
18830319,20
18720724,12
18560604,16
18750712,12
18790506,16
19421116,12
18700219,16
18810825,16
18730208,12
18590801,16
18911229,16
19000219,32
18900708,16
19251224,32
19230604,40
19240814,36
19320329,27
19301211,50
19300321,42
19310918,21
19230116,48
18590316,20
19191110,71
19210915,67
18870929,20
18491228,8
19201020,88
19190317,56
19380115,44
19381015,86
19380616,28
18710814,12
19000630,24
18540120,16
19280530,34
19320112,31
18920726,20
19150331,32
18440705,20
19040105,40
19110613,59
19011203,44
19131229,32
19280124,43
18841010,20
19350621,20
19420210,12
19360722,19
18810421,16
19421207,12
19350614,12
19290527,45
19260726,24
19141215,44
19080129,48
18870314,28
19260925,62
18790723,16
19110630,44
19111021,83
18830420,20
19340928,34
19140325,43
19060528,44
18951004,16
18980330,24
19060320,48
18840526,20
18800728,12
19140109,48
19400903,19
18910216,28
18990329,24
19120514,56
18650802,16
18781230,16
19110426,48
18430922,16
18670703,12
19170817,28
18490316,12
18770825,16
19110714,44
19150911,36
18770113,16
18761120,20
18680107,12
18820322,20
19290919,49
19300205,34
18620922,20
18901210,28
18850330,24
18530916,16
19201120,128
19060331,46
18830426,16
19270519,55
19371129,42
18391008,16
18790405,20
18470608,16
18920304,24
18980208,36
18740901,16
19060327,56
18790916,20
18390504,4
19330930,47
18960710,28
19210314,52
18730424,16
19150119,36
18770101,56
18941108,44
19290925,47
19291024,73
18761113,20
18901027,32
18930412,20
18820127,20
19090424,68
18590114,16
19160706,36
18790409,16
18940804,24
18891126,28
18561117,20
19020113,44
18481121,16
19440119,12
18770519,16
18760803,12
18970603,32
18970127,36
18340808,12
19120819,43
18850714,20
18820211,20
18700611,12
19260703,43
18680710,12
19211201,83
18700323,16
18770809,12
19271202,65
19081021,60
19090601,56
19060608,44
18770406,16
18870404,20
19120117,44
19050914,40
19221121,138
19330520,39
19261103,59
19270308,63
18870310,28
19160320,36
19240417,79
19360710,19
19131231,48
19160908,32
19371008,34
19260602,35
18850317,20
19271223,20
18711208,16
19010517,36
18860828,28
19350115,28
19340904,35
19370308,19
18480414,12
18940627,24
19350222,19
19260520,56
19220729,56
18870603,20
19320215,27
18421004,20
18820309,24
19190111,44
19180828,28
19090107,52
19060512,64
18800724,12
18780801,16
19210923,60
18950628,16
19191117,95
18830528,20
19180124,32
19100226,64
19320226,19
18790808,12
18581206,16
19241117,159
19260406,48
19360318,27
18441203,24
18780904,16
18881121,24
19280102,51
18950206,24
18821121,20
18540127,16
18810124,16
19260109,50
19280903,43
18620217,20
18850506,16
19230903,24
19310817,12
1924010101,42
19410607,12
19190428,40
18780502,16
18760705,12
19371127,59
18730118,16
19201125,96
18791110,24
18720508,12
18800519,16
19000330,36
19040312,48
18811020,20
18771127,24
19100304,48
18741228,12
18630330,16
18490501,8
18390405,12
19301111,58
19141104,36
18710606,12
18981111,44
19081215,48
19370519,34
18620517,8
19350117,20
18651006,20
18650403,20
18860515,28
18700321,20
19360208,42
18560409,12
18900409,28
18630909,16
18820927,20
19051205,52
19310224,51
18901229,24
19290415,24
18880420,20
18820325,20
19061212,44
18451028,16
18741019,16
18780701,20
18930724,20
18740612,16
18750305,16
18400501,12
19310114,20
19070312,44
18780831,16
19330424,19
19340404,27
18830628,16
19241122,107
19200204,71
18860503,24
18691230,8
19180731,28
18851015,28
19160707,28
19000927,32
18870115,24
18910511,28
19170207,47
18900929,28
19410626,12
19321112,51
19110109,68
18441025,20
18700118,16
19280206,36
18730715,12
18690320,16
19040223,64
18360603,16
18970205,32
19190712,64
19180930,36
18971115,40
19330413,28
19251205,102
18940719,28
19130222,60
19350329,34
19050302,40
19010125,40
19020602,32
19070808,36
19230717,31
18530225,18
19050905,36
19450120,12
19330708,35
19220531,48
18900730,20
18930125,28
18900815,20
19370402,19
18920107,24
19170830,28
19131030,67
18670531,16
19361201,51
19250527,63
18781220,12
19020814,28
19410425,12
18830904,16
18761027,20
19021120,44
19310729,12
18910824,24
18430117,16
18441018,24
18811029,28
18690426,16
19380702,27
18681125,16
19000221,28
18560328,16
1910010101,166
19240731,27
18870108,28
19100730,48
19120911,59
19331129,33
19061020,64
19161211,56
18670121,12
19051113,72
18420503,12
18741214,20
18671004,12
18901211,24
18841009,24
19100606,56
19240116,47
19220724,56
18650324,20
19310929,28
18881130,28
19170919,28
19281030,76
19351206,43
18980910,32
19080725,40
18590101,40
18730201,16
19340424,35
18531111,20
18590525,12
18641216,20
18420819,12
18990520,32
19340417,35
19380106,28
18820323,20
18780129,16
19320520,19
18720626,16
19370301,26
19210707,36
19261206,60
18730819,16
18580514,16
18750818,16
19261202,67
18970804,20
19200410,48
18451216,16
19010706,36
19410702,8
18570109,16
19030922,48
18760217,16
18950228,24
19320525,20
19330622,19
19100112,44
18930803,20
19040304,56
18771106,20
18801208,20
19140126,40
18660709,8
19131004,71
19081002,64
18961008,32
19221016,60
19130418,64
19050829,32
18881008,24
18760822,12
18460526,8
19360711,27
18760828,16
18691112,20
18910204,24
19110206,44
19221026,72
18930304,28
19110725,36
19031007,32
19301216,28
19290328,49
18971220,20
19360714,28
19201218,43
19361126,43
18731215,16
18850722,24
18700804,16
18830710,12
19100715,44
18650213,24
19170120,43
18990619,28
19341011,27
18650208,20
19150616,36
18790915,20
19340102,32
19020620,32
19141001,24
19180806,32
18580322,16
19280927,65
19130828,39
19370412,28
18391115,12
18820914,20
18440702,24
18860730,20
19161102,52
18890529,56
19020825,28
18680928,12
19281115,82
19050727,28
19160901,35
18360101,12
18800405,16
18950305,20
18611108,24
19310731,11
18401225,8
18970723,24
18890615,24
19350326,38
18761005,16
19071129,76
19320606,19
18870630,20
19100323,44
19110128,64
19350617,20
19281112,84
19271027,59
18710710,16
18720226,20
18461211,16
18990726,24
18450822,16
19010419,44
18950711,24
18821006,20
18780624,16
18960229,28
19060510,48
19210910,63
19350726,16
19050323,52
18841112,24
18710515,16
19280120,59
19370504,32
19210701,40
