slub-id,seiten
39946221X-18650816,16
39946221X-18830109,16
39946221X-19060629,40
39946221X-18880817,16
39946221X-18850318,28
39946221X-18801112,20
39946221X-18680810,12
39946221X-18741024,20
39946221X-18421223,16
39946221X-19160524,43
39946221X-19170525,35
39946221X-18761013,20
39946221X-18890207,20
39946221X-18810625,20
39946221X-18740821,16
39946221X-19010130,42
39946221X-18910227,32
39946221X-18810713,16
39946221X-18990105,32
39946221X-18940717,24
39946221X-18750407,16
39946221X-18540317,12
39946221X-18670112,8
39946221X-19051006,52
39946221X-18641212,16
39946221X-18730122,16
39946221X-19080404,60
39946221X-18440511,4
39946221X-19130421,51
39946221X-18790618,16
39946221X-18830319,20
39946221X-18720724,12
39946221X-18750712,12
39946221X-18790506,16
39946221X-18700219,16
39946221X-18810825,16
39946221X-18730208,12
39946221X-18590801,16
39946221X-18911229,16
39946221X-19000219,32
39946221X-18900708,16
39946221X-19251224,32
39946221X-19230604,40
39946221X-19240814,36
39946221X-18590316,20
39946221X-19191110,71
39946221X-19210915,67
39946221X-18491228,8
39946221X-18710814,12
39946221X-19000630,24
39946221X-18540120,16
39946221X-18920726,20
39946221X-19150331,32
39946221X-18440705,20
39946221X-19040105,40
39946221X-19011203,44
39946221X-19131229,32
39946221X-19280124,43
39946221X-18810421,16
39946221X-19260726,24
39946221X-19141215,44
39946221X-19080129,48
39946221X-18870314,28
39946221X-19260925,62
39946221X-18790723,16
39946221X-19110630,44
39946221X-19111021,83
39946221X-19140325,43
39946221X-19060528,44
39946221X-18951004,16
39946221X-18980330,24
39946221X-19060320,48
39946221X-18840526,20
39946221X-18800728,12
39946221X-19140109,48
39946221X-18990329,24
39946221X-19120514,56
39946221X-18650802,16
39946221X-18781230,16
39946221X-19110426,48
39946221X-18430922,16
39946221X-18670703,12
39946221X-18490316,12
39946221X-18770825,16
39946221X-19110714,44
39946221X-19150911,36
39946221X-18770113,16
39946221X-18761120,20
39946221X-18680107,12
39946221X-18820322,20
39946221X-18901210,28
39946221X-18850330,24
39946221X-18530916,16
39946221X-19201120,128
39946221X-19060331,46
39946221X-18391008,16
39946221X-18790405,20
39946221X-18470608,16
39946221X-18920304,24
39946221X-18980208,36
39946221X-18740901,16
39946221X-19060327,56
39946221X-18790916,20
39946221X-18390504,4
39946221X-18960710,28
39946221X-19210314,52
39946221X-18730424,16
39946221X-18770101,56
39946221X-18761113,20
39946221X-18901027,32
39946221X-18930412,20
39946221X-18820127,20
39946221X-19090424,68
39946221X-18590114,16
39946221X-19160706,36
39946221X-18790409,16
39946221X-18940804,24
39946221X-18891126,28
39946221X-18561117,20
39946221X-19020113,44
39946221X-18481121,16
39946221X-18770519,16
39946221X-18760803,12
39946221X-18970603,32
39946221X-18970127,36
39946221X-18340808,12
39946221X-19120819,43
39946221X-18850714,20
39946221X-18820211,20
39946221X-18700611,12
39946221X-19260703,43
39946221X-18680710,12
39946221X-18700323,16
39946221X-18770809,12
39946221X-19081021,60
39946221X-19090601,56
39946221X-19060608,44
39946221X-18770406,16
39946221X-19050914,40
39946221X-19221121,138
39946221X-19261103,59
39946221X-19270308,63
39946221X-18870310,28
39946221X-19160320,36
39946221X-19240417,79
39946221X-19131231,48
39946221X-19160908,32
39946221X-18850317,20
39946221X-19271223,20
39946221X-18711208,16
39946221X-19010517,36
39946221X-18860828,28
39946221X-18480414,12
39946221X-18940627,24
39946221X-19220729,56
39946221X-18421004,20
39946221X-18820309,24
39946221X-19190111,44
39946221X-19180828,28
39946221X-19090107,52
39946221X-19060512,64
39946221X-18800724,12
39946221X-18780801,16
39946221X-19210923,60
39946221X-18950628,16
39946221X-19191117,95
39946221X-19180124,32
39946221X-19100226,64
39946221X-18790808,12
39946221X-18581206,16
39946221X-18441203,24
39946221X-18780904,16
39946221X-18881121,24
39946221X-19280102,51
39946221X-18950206,24
39946221X-18821121,20
39946221X-18540127,16
39946221X-18810124,16
39946221X-19260109,50
39946221X-18620217,20
39946221X-18850506,16
39946221X-19190428,40
39946221X-18780502,16
39946221X-18760705,12
39946221X-18730118,16
39946221X-18791110,24
39946221X-18720508,12
39946221X-18800519,16
39946221X-19000330,36
39946221X-19040312,48
39946221X-18811020,20
39946221X-19100304,48
39946221X-18741228,12
39946221X-18630330,16
39946221X-18490501,8
39946221X-18390405,12
39946221X-19141104,36
39946221X-18710606,12
39946221X-19081215,48
39946221X-18620517,8
39946221X-18651006,20
39946221X-18650403,20
39946221X-18860515,28
39946221X-18700321,20
39946221X-18900409,28
39946221X-18630909,16
39946221X-18820927,20
39946221X-19051205,52
39946221X-18901229,24
39946221X-18880420,20
39946221X-18820325,20
39946221X-19061212,44
39946221X-18451028,16
39946221X-18741019,16
39946221X-18780701,20
39946221X-18930724,20
39946221X-18740612,16
39946221X-18750305,16
39946221X-18400501,12
39946221X-19070312,44
39946221X-18780831,16
39946221X-19200204,71
39946221X-18860503,24
39946221X-18691230,8
39946221X-19180731,28
39946221X-18851015,28
39946221X-19160707,28
39946221X-19000927,32
39946221X-18870115,24
39946221X-18910511,28
39946221X-19170207,47
39946221X-18900929,28
39946221X-19110109,68
39946221X-18441025,20
39946221X-18700118,16
39946221X-18730715,12
39946221X-18690320,16
39946221X-19040223,64
39946221X-18360603,16
39946221X-18970205,32
39946221X-19190712,64
39946221X-19180930,36
39946221X-19251205,102
39946221X-18940719,28
39946221X-19130222,60
39946221X-19010125,40
39946221X-19020602,32
39946221X-19070808,36
39946221X-19230717,31
39946221X-19050905,36
39946221X-19220531,48
39946221X-18900730,20
39946221X-18930125,28
39946221X-18900815,20
39946221X-18920107,24
39946221X-19170830,28
39946221X-19131030,67
39946221X-18670531,16
39946221X-19250527,63
39946221X-18781220,12
39946221X-19020814,28
39946221X-18830904,16
39946221X-18761027,20
39946221X-19021120,44
39946221X-18910824,24
39946221X-18430117,16
39946221X-18441018,24
39946221X-18811029,28
39946221X-18690426,16
39946221X-18681125,16
39946221X-19000221,28
39946221X-19240731,27
39946221X-18870108,28
39946221X-19100730,48
39946221X-19120911,59
39946221X-19061020,64
39946221X-19161211,56
39946221X-18670121,12
39946221X-19051113,72
39946221X-18420503,12
39946221X-18741214,20
39946221X-18671004,12
39946221X-18901211,24
39946221X-18841009,24
39946221X-19100606,56
39946221X-19240116,47
39946221X-19220724,56
39946221X-18650324,20
39946221X-19170919,28
39946221X-18980910,32
39946221X-19080725,40
39946221X-18590101,40
39946221X-18730201,16
39946221X-18531111,20
39946221X-18590525,12
39946221X-18641216,20
39946221X-18420819,12
39946221X-18990520,32
39946221X-18820323,20
39946221X-18780129,16
39946221X-18720626,16
39946221X-19210707,36
39946221X-19261206,60
39946221X-18730819,16
39946221X-18580514,16
39946221X-18750818,16
39946221X-19261202,67
39946221X-18970804,20
39946221X-19200410,48
39946221X-18451216,16
39946221X-19010706,36
39946221X-18570109,16
39946221X-19030922,48
39946221X-18760217,16
39946221X-18950228,24
39946221X-19100112,44
39946221X-18930803,20
39946221X-19040304,56
39946221X-18801208,20
39946221X-19140126,40
39946221X-18660709,8
39946221X-19131004,71
39946221X-18961008,32
39946221X-19221016,60
39946221X-19130418,64
39946221X-19050829,32
39946221X-18881008,24
39946221X-18760822,12
39946221X-18760828,16
39946221X-18691112,20
39946221X-18910204,24
39946221X-19110206,44
39946221X-19221026,72
39946221X-18930304,28
39946221X-19110725,36
39946221X-19031007,32
39946221X-18971220,20
39946221X-19201218,43
39946221X-18731215,16
39946221X-18850722,24
